Country/Region,Official language,Regional language,Minority language,National language,Widely spoken
Papua New Guinea,English Hiri Motu PNG Sign Language Tok Pisin,,,,
Paraguay,Spanish Guaraní,,,,
Peru,Peruvian Spanish Quechua Aymara Asháninka,,,,
Philippines,Filipino English,"Aklanon (in the Visayas) Bikol (in Luzon) Cebuano (in the Visayas and Mindanao) Chavacano (in Mindanao) Hiligaynon (in the Visayas) Ibanag (in Luzon) Ilocano (in Luzon, official in La Union[73]) Ivatan (in Luzon) Kapampangan (in Luzon) Kinaray-a (in the Visayas) Maguindanao (in Mindanao) Maranao (in Mindanao) Pangasinan (in Luzon) Sambal (in Luzon) Tagalog (in Luzon) Tausug (in Mindanao) Waray (in the Visayas) Yakan (in Mindanao)",Arabic[f] (optional language)Spanish[f] (optional language)(+ over 100 more minority languages),Filipino Filipino Sign Language (national sign language),
Poland,Polish,Kashubian (Pomeranian Voivodeship),German (Opole Voivodeship) Lithuanian (Puńsk commune) Belarusian (Podlaskie Voivodseship) Czech Hebrew Yiddish Lemko Karaim Armenian Romani Russian Slovak Tatar Ukrainian,,
Portugal,Portuguese,Mirandese (Terra de Miranda),,,
Qatar,Arabic,,,,
Romania,Romanian,,Armenian German Hungarian Romani Russian Serbian Slovak Tatar Turkish Ukrainian,,Aromanian
Russia,Russian,(33 languages),,,
Rwanda,English French Kinyarwanda Swahili,,,,
Sahrawi Arab Democratic Republic[a],Tamazight Arabic Spanish,,,,
Saint Kitts and Nevis,English,,,,
Saint Lucia,English,,,,
Saint Vincent and the Grenadines,English,,,,
Samoa,"English, Samoan",,,,
San Marino,Italian,,,,
São Tomé and Príncipe,Portuguese,,,,
Saudi Arabia,Arabic,,Faifi Razihi Mehri,,Indian Languages Filipino Bengali
Senegal,French,,,Jola-Fogny Mandinka Pulaar Serer Soninke Wolof,
Serbia,Serbian,,(15 languages),,
Seychelles,English French Seychellois Creole,,,,
Sierra Leone,English,,,Krio,
Singapore,English Malay Mandarin Chinese Tamil,,,Malay,
Slovakia,Slovak,,Bulgarian Czech German Hungarian Polish Romani Rusyn Serbian Ukrainian,,
Slovenia,Slovene,,"Hungarian (Dobrovnik, Hodoš, Lendava) Italian (Izola, Koper, Piran) Croatian (Metlika, Brežice)",,
Solomon Islands,English,,,,
Somalia,"Somali, Arabic",,,,
Somaliland[a],Arabic English Somali,,,,
South Africa,Afrikaans English Southern Ndebele Sotho Northern Sotho Swazi Tsonga Tswana Venda Xhosa Zulu,,,,
South Ossetia[a],Ossetian Russian,Georgian,Georgian,,
South Sudan,English,,,Bari Dinka Luo Murle Nuer Zande (60 other languages),
Spain,Spanish,"Catalan (Balearic Islands, Catalonia, Valencian Community) Galician (Galicia) Occitan (Catalonia) Basque (Basque Country, Navarra)",Astur-Leonese (Asturias) Aragonese (Aragon) Fala (Province of Cáceres) French Portuguese,,
Sri Lanka,Sinhala Tamil,,,,English
Sudan,Arabic English,,,,
Suriname,Dutch,,,Sranan Tongo,
Sweden,Swedish,,"Finnish (Gällivare, Haparanda, Kiruna, Pajala, Övertorneå Meänkieli (Gällivare, Haparanda, Kiruna, Pajala, Övertorneå) Sami (Arjeplog, Gällivare, Jokkmokk, Kiruna) Yiddish Romani",,
Switzerland,"French (Bern, Fribourg, Geneva, Jura, Neuchâtel, Valais, Vaud) German (Aargau, Appenzell Ausserrhoden, Appenzell Innerrhoden, Basel-Landschaft, Basel-Stadt, Bern, Fribourg, Glarus, Graubünden, Lucerne, Nidwalden, Obwalden, Saint Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Uri, Valais, Zug, Zürich) Italian (Ticino, Graubünden) Romansh (Graubünden)",,,,
Syria,Arabic,Kurdish,Assyrian Western Neo-Aramaic Armenian,,
Taiwan,None (Mandarin Chinese has de facto status),,,Taiwanese Mandarin[g] Taiwanese Hokkien[g] Taiwanese Hakka[75] Formosan languages[76] Taiwan Sign Language Matsu dialect Wuqiu dialect,
Tajikistan,Tajik,,,Tajik,Russian
Tanzania,Swahili English,,,Swahili,
Thailand,Thai,,,,
Togo,French,,,,
Tokelau,English Tokelauan,,,,
Tonga,English Tongan,,,,
Transnistria[a],Moldovan Russian Ukrainian,,,,
Trinidad and Tobago,English,,,,Trinidadian Creole
Tunisia,Arabic,,,Arabic,
Turkey,Turkish,,Kurdish,Turkish,
Turkmenistan,Turkmen,,,Turkmen,Russian
Tuvalu,Tuvaluan English,,,Tuvaluan English,
Uganda,English Swahili[77],,,,
Ukraine,Ukrainian,Russian (Autonomous Republic of Crimea) Crimean Tatar (Autonomous Republic of Crimea),,,
United Arab Emirates,Arabic,,,,
United Kingdom and Crown dependencies etc.,None (English has de facto status),Irish and Ulster-Scots (in Northern Ireland) Scots and Scottish Gaelic (in Scotland) Welsh (in Wales) Pitcairnese (in Pitcairn Islands) Guernésiais and French (in Guernsey) Jèrriais and French (in Jersey) Manx (in Isle of Man),,,
United States,None (English has de facto status),(28 languages),,Several indigenous languages of recognized federal tribes,"English, Spanish"
Uruguay,None (Spanish has de facto status) Uruguayan Sign Language,,,,
Uzbekistan,Uzbek,,Uzbek Karakalpak and Uzbek in Karakalpakstan,,Russian
Vanuatu,English French Bislama,,,,
Vatican City,Italian Latin (formerly),,,,Swiss German
Venezuela,Spanish Venezuelan Sign Language,,,,
Vietnam,Vietnamese,,Cantonese Cham Hmong Khmer Lao Muong Rade Tay Thai Vietnamese sign languages,Vietnamese,
Yemen,Arabic,,Mehri Soqotri,,
Zambia,English,,,,
Zimbabwe,Chewa Chibarwe English Kalanga Khoisan[h][78] Nambya Ndau Ndebele Shangani Shona Sign language[i] Sotho Tonga Tswana Venda Xhosa,,,,
